sender,no_reacts,text,label
$USER3798,0,Tiai scos turma la pascut animalule ma jigodie ordinara,ABUSE
$USER0684,0,Poate un repetent...,OTHER
$USER1556,0,Silviu Dragoe Perfecta dreptate !!,OTHER
$USER0006,0,Vorbă lungă te speli cu cenușă pe dinți?,OTHER
$USER0689,0,Eu nu sunt oatriot cu toți romulanii.,OTHER
$USER0315,0,A completat formularul de intrare in Romania?,OTHER
$USER0459,0,Manipulare de la PSD si PNL !,OTHER
$USER3198,0,Sugi pula sarla batrana si idioata ai dat votul pe 1 l de ulei si faci scheme pe aici,ABUSE
$USER1415,0,"Cine este interesat să caute pe google ,,euromaidan "" să vedeți ce se întâmplă în ucraina din 2013",OTHER
$USER0283,0,Uite doi prosti,INSULT
$USER1892,0,Vocea poporului Român trebuie respectată și auzită,OTHER
$USER1287,1,Cine sa controleze daca parlamentari au tot,OTHER
$USER2664,0,Politica romanesca la gunoi ........,ABUSE
$USER3761,0,Jandarmii și polițiștii sunt cainii cu botnita care apară hoții și penalii din guvern,INSULT
$USER1036,0,Tigan Presedinte,ABUSE
$USER1178,2,O tara de proști asta suntem,INSULT
$USER1602,0,Bucurestenii !! Mai bine muriti pentru tara pentru pace pe timp de pace decat sa murim ca prosti pe timp de razboi,INSULT
$USER0660,0,"JOS GUNOAIELE DE LA CONDUCEREA ROMANIEI! DEMISIA, TRADATORILOR!",ABUSE
$USER1832,0,La mulți ani sănătoși sa va dea Dumnezeu multă sănătate!Felicitări!,OTHER
$USER0296,0,"Dulapul e la baie, il doare cotul drept... sau stang... de abia așteaptă o partidă cu kmala, căcarmen a lui e purie",OTHER
$USER1915,0,Nici acordul din 1992 nu a fost pentru tara .,OTHER
$USER1363,2,"Secretele dacă sunt secrete nu se spun noua... Sa fim serioși.. Noi habar nu avem, rumega ce ni se da",OTHER
$USER0686,0,ADEVARAT! DEMOCRATIE GLOBALISTA!,OTHER
$USER1904,0,Trebuie imediat alegeri anticipate urgent...,OTHER
$USER0605,0,Ba respect cacat,PROFANITY
$USER0438,0,Fără mască am zis!,OTHER
$USER3666,0,Activ pinadam cu rahatul de iohan,INSULT
$USER0964,0,Eu sant o persoana normal si cred ca lui Putin ii este mila,OTHER
$USER1733,0,Păcat că i-ați votat,OTHER
$USER0219,0,Buna ziua romania tv,OTHER
$USER0097,0,"Ne baga astia in razboi, talharii",OTHER
$USER0530,2,Turistul vrea razboi cu Putin,OTHER
$USER0027,0,ASCULTINDU-L PE POPA ASTA PUTEM SA INȚELEGEM CA UE SI NATO VOR SA IMPINGA RO INTR-UN RAZBOI,OTHER
$USER0338,0,Toti la armata baa,OTHER
$USER0286,0,Vedeți ca e strâmb pus covorul roșu,OTHER
$USER0666,0,Esti periculos mihai ai copi cu mata,ABUSE
$USER1090,0,Bravo Simion ardei pe hoti,OTHER
$USER1428,0,Atitudinea de răzbunare la adresa rușilor nu ne aduce nici un beneficiu,OTHER
$USER1796,0,Va iubesc și cred ca Dumnezeu o sa ne apere,OTHER
$USER3211,0,Dute ma in pula mea cu vrajeala ta,ABUSE
$USER0027,2,NIMENI NU MAI ARE INCREDERE IN TERHEȘ !!!!!!!,OTHER
$USER2875,0,LAZARIUS TU ESTI PROSTU PROSTILOR,INSULT
$USER1834,0,Va iubesc si VA doresc tot binele din lume fericire sănătate să ajungeți PRESEDINTELE TARII ROMANESTI. DOAMNE AJUTA SA FIE BINE IN TARA ACEASTA SI SA AVEM PACE SI LINISTE.,OTHER
$USER3683,0,Jandarmeria politia plecati ma la razboi mercenari nenorociti,INSULT
$USER1526,0,Si Putin a gandit asta de asta este razboi Urss,OTHER
$USER3464,0,Toti din televiziuni sunt porcii lui iohanis,INSULT
$USER0004,0,Uzurpatorii vor razboi,OTHER
$USER0873,1,Aici au adus politicieni Romania,OTHER
$USER0292,0,CE RĂZBOI JIGODIILOR CA PUTIN DISTRUGE LABORATOARELE DE VIRUSU SI BOLI APOI SCOATE OCULTA DIN UCRAINA,ABUSE
$USER1852,0,BRAVOOO Angelo Giorgiani!!!,OTHER
$USER1646,1,Pe copilul meu nu pune nimeni mâna!,OTHER
$USER0072,0,"Sa-ti dea D-zeu tot ce-ti doresti, te pupic de la Madrid",OTHER
$USER2410,0,SANATATE MULTĂ.. ÎȚI DORESC...MULTĂ BAFTA . IN LUPTA CARE O DUCI... PACAT CĂ OMUL BUN .. ESTE BATJOCURIT. GUVERNUL E UN MARE TICALOS,INSULT
$USER0749,0,Bai labagiule obosit.. Cine mâță te recomanda,INSULT
$USER1916,1,Tu nu ai copiii? Poate nu ești romanca 100% de asta nu te interesează ce se întâmple cu România.,OTHER
$USER1212,1,Nu sîntem obligați să mergem în război să vă fie rușine guvernul criminali ce sînteți,OTHER
$USER2973,0,"Prostu e chiar el,multi sunt meniti sa dispara",INSULT
$USER0639,0,Cînd am intrat prima dată trăiau ca PATRONI.,OTHER
$USER2117,1,Ăștia de la românia tv cei mai mincinoși și pupincuriști ai PNL și PSD,INSULT
$USER4293,0,Este o piele de p#$la,PROFANITY
$USER0564,0,IOHANEZZZ SA SE CARE DRACULUI LA CAPATUL PAMINTULUI,PROFANITY
$USER0541,0,Vb voi lat TV. Voi credeți că merg la război se duc tot proști că acei ucrainienii,OTHER
$USER0980,0,"Dacă George a luptat din adolescenta și sa dus la Iliescu sa l facă criminal și asa este, cum sa fie fals George acum, ce oameni sunt aceștia cum de gândesc asa tragic.",OTHER
$USER2861,0,Respect Coarna ca tu Dian-o latri mult prost si fara rost,INSULT
$USER1466,0,"Mai Luis, nu fi naiv, nu poti aduce dicutia despre serviciile secrete ale Rusiei.",OTHER
$USER3480,0,Taci in pwla mea de trădător.,PROFANITY
$USER1213,1,Politicieni criminali si mafioti!!!!!,OTHER
$USER0349,0,"Polonia a terminat cu ei ,ce cauta in Romania? Nu vrem razboi,demisia Johannis si tot eternul guvern (hidra celor 32 de ani pusa sa distruga toata Romania)",OTHER
$USER1721,0,Este Mult Prea tirziu. Trebuia Miscat de mult,OTHER
$USER1753,2,Criminali vor sa ne ia copii,OTHER
$USER0193,0,"toata planeta se duce dracu, o sa vedeti............sunt chestii scrise in scripturi care oricum se implinesc, important este sa nu ne pierdem ratiunea si sufletul",PROFANITY
$USER0530,2,AM O INTREBARE ALO ALO ALO LA CINE AM FOST VANDU TI CHIRIAC MINTE MULT,OTHER
$USER1552,0,EU IN locul lui as demisiona din kk de U E..Nu stiu la ce mai continua.Ptr ce .》》》Lasă te domnule dragă ..demisionează ..ca nu ne convine noua u e vostru! Clar ca bună ziua,INSULT
$USER1171,2,Nu mai manipulati populatia!..,OTHER
$USER1219,0,"Este ok,se scapă de ieșire la pensie",OTHER
$USER1450,2,O căruță de idioți care cred că USA e scot din Căcat din rahatul care nea băgat U. s. a.. spre wc mondial !,INSULT
$USER1170,1,Da tu Beti cea urata de la Naspa Tv dc vorbesti asa lejer doamnelor si domnilor???,INSULT
$USER1610,0,Felicitări dragi patrioți! Dumnezeu să vă ocrotească!,OTHER
$USER1710,1,Cine a semnat să meargă la Război.,OTHER
$USER1608,0,BARNA CRIMINAL BARNA LA PUSCARIA USR NEOMARXISTI JOS GLOBALISTII,OTHER
$USER1849,1,Hoți hoți criminali trădători,OTHER
$USER0969,0,Gibo Adriana Dobitoacă ești TU.,INSULT
$USER0724,0,Si patinam!Frumos! Jos dictatura!,OTHER
$USER3064,0,"Trei gunoaie , pe sticlă!",INSULT
$USER0539,0,Cât extaz... și ipocrizie!,OTHER
$USER1608,0,JOS USR PNL PSD,OTHER
$USER0400,0,Ocupați românia.Caci nenorociți ne-a furat-o,INSULT
$USER0036,0,Casian Anghel nouă ordine mondiala înseamnă o lume fara Dumnezeu!,OTHER
$USER1281,0,De parcă România nu ar avea țiței și gaze naturale...,OTHER
$USER3551,0,Deferiți justiției corupți PSD and PNL aceeași mizerie,ABUSE
$USER1429,0,TERHES DUTE CUCA TATI,OTHER
$USER1907,0,"Vai de mama lor de președinte nenorocit și acest PRIM-MINISTRU ,acești dușmani ai poporului trebuie linșați și la pușcărie cu ei .",INSULT
$USER2429,2,Dobitoaca esti tu ori esti platita de rahanis hitleristul.,ABUSE
$USER0137,0,Terhes mars de unde ai venit,INSULT
$USER1301,0,Duce ma f pe mata,ABUSE
$USER0494,0,Doamne Dumnezeule lasă pacea Ta peste țara noastră căci de asta atârnă și fericirea noastră,OTHER
$USER0242,8,A venit Curva satanista sa ne bage in razboi!!,ABUSE
$USER1120,0,Aveți impresia că în România vor mai fi alegeri libere?,OTHER
$USER1167,2,Băi libertatea noastră nu mai există,OTHER
$USER4130,0,Trădători împuțiți!,ABUSE
$USER1721,3,Bruxelul este criminal,OTHER
$USER0975,0,Unde mergem daca vine razboiul Romania.,OTHER
$USER1273,2,Ocoliti subiectul si ne trezim cu bucuria...,OTHER
$USER3274,0,Gata cu globalismu trebuie sa mergem cu fata spre dzeu...nu ne conduc oameni de a lui dzeu sunt bulangii pedofili travestiti...în occident!,ABUSE
$USER0566,0,Neinteresant ești tu,OTHER
$USER1927,0,Ce inima sa aive nazistul de iohanis sau Neomarxistul de Câțu,ABUSE
$USER0132,0,Da la românii noștrii din Ucraina nu vorbește nimeni.,OTHER
$USER4218,0,"Blocati dna senator pe toti prostii, criminali, tradatori",INSULT
$USER1448,0,AZOV AZOV AZOV AZOV AZOV AZOV,OTHER
$USER1517,0,România. O fost. Romanii. Ramne. Hoți. T,OTHER
$USER0638,0,"Mai spunei o data , ca a incercat sa te astupe",OTHER
$USER3107,0,În țigani și în bețivi să nu ai niciodată încredere!,ABUSE
$USER1873,0,Ocrotește Doamne poporul tău și Binecuvântează moștenirea ta Ajută-ne Doamne păzește țara noastră de război Vrem pace,OTHER
$USER1046,2,Cretinul ăsta ne spune ca Istoria nu contează,INSULT
$USER0235,2,Toata lumea în stradă,OTHER
$USER2973,0,Nu am Energie ptr prosti Dar ii strang de gat cand dorm,INSULT
$USER3294,0,Țigan aurolac prorus,ABUSE
$USER4293,0,Ciuca=pielea p#lii,INSULT
$USER1113,0,Fara dragoste nimic nu ai cu popescu la gunoi cu el,ABUSE
$USER0100,0,Bravo Aurelian adevarat crestin,OTHER
$USER1556,0,Ana Grozavescu Aveti perfecta dreptate..si eu l-am admirat dar cum spunet dvs sa schimbat total....pacat,OTHER
$USER4005,0,"Uitati-va la ei,la polițiști au mutre de criminali plătiți,sunt niste ,,gorile''ordinare",INSULT
$USER1702,1,Bravo Diana! Si eu in calitate de mama nu permit nimanui sa se atinga de copilul meu,OTHER
$USER2634,3,De proşti ce sunt românii cu siguranță vor intra în război!,INSULT
$USER0161,0,PAI AZI LA ADRIANA BAHMUNTEANU COSMIN GUSA SPUNE CA E.VORBA DE TREI ANI ACEST RAZBOI!,OTHER
$USER1687,0,Bravo domnule Lasca.adevarat patriot,OTHER
$USER0311,0,DA nu mai vorbiti urat,OTHER
$USER1864,0,Prosti si tihalosi.... Puterea este tradatoare.,INSULT
$USER1372,0,"Ilie Stetco ai uitat, ce raporteaza rusi, cite sute de mii. Atunci cine poate fi numit, criminal de razboi. Si acuma tu!!!",OTHER
$USER1455,0,Terches dute bre la biserica sa ti citeasca popa ca te ai spurcat,ABUSE
$USER3027,0,Chiar asa de proasta esti?,INSULT
$USER0006,0,"Vă e mai comod, știu, dar faceți un minim de efort!",OTHER
$USER0845,0,Sa o sugi scroafo!,ABUSE
$USER1406,0,"Lasă că nici cu Ucraina nu mi-e rușine , in criza de război Zelenski vrea carduri digitale , exact ca la codul Qr",OTHER
$USER0719,0,Lazarius chemama pe mine si ai sa vezi emisiune reala nu baliverne dar felicitari baiatului bravo,OTHER
$USER0550,0,MĂ VOI de 32 de ANI ați vândut TOT din România Chear tot,OTHER
$USER0487,0,Și dacă a venit doamna nu mai avem război??,OTHER
$USER0084,5,"TERHES E ȘCOLIT IN SUA, TINE CU OBAMA",OTHER
$USER1492,0,2008 a fost ultimul an,OTHER
$USER1327,0,Respect și admirație!!!,OTHER
$USER0115,0,Nu I pasa lui Terhes cand este numit globalist! Pai ce conteaza parerea oamenilor. El are o agenda de dus la capat.,OTHER
$USER0655,0,De suferinta romanilor cui ii pasa!,OTHER
$USER1459,0,Romănia noastră este praf și voi vă dați de ceasul morții de hoții ucrainieni,OTHER
$USER0867,0,Bai ești un prost,INSULT
$USER1334,0,Vrem o femeie președinte!...,OTHER
$USER0710,0,Bucovina de Nord cui apartine insula serpilot????,OTHER
$USER0109,0,"Sa va fut in gura DE cenzuraci ,idioti, labagii",ABUSE
$USER1864,0,"DISTRIBUITI,VA RUGANM.",OTHER
$USER0536,0,Pentru prima data in istoria geometriei doua paralele sau întâlnit! Wow!,INSULT
$USER1628,1,"La multi ani ! Doamna Senator Diana numai uniti vom avea Pace! ,,Pacea de la Bucuresti!"" Ce trebuie sa raspîndeasca in toata lumea ,sa fim exemplu in lume! Va iubim si va respectam !",OTHER
$USER0666,1,Duten mata de zdreamta astai o doamna pisatule,ABUSE
$USER0326,0,Te doare capul cu slugărnicia României pana acum nu au mai venit Americani acum au venit sa ne bage în război huoooo,ABUSE
$USER0894,1,Îl asiguram pe toți că ne vom da cu ruși numai sa avem arme în mână,OTHER
$USER0470,0,Baaaaaa e ceva ce nu știți????,OTHER
$USER1391,0,Da da o sa omoara americanii aici aparandu ne,OTHER
$USER0626,0,Pe vremea lui Ceaușescu școală era școală nu.ca acuma,OTHER
$USER0448,1,Scapam de dk dam de tasu!...:))) o ardem pe criza...alerta era demodat!,PROFANITY
$USER0104,0,Ma bucur ca domnul Neamtu are bunici din Dolj.,OTHER
$USER0295,0,Hitler e de mult în Europa,OTHER
$USER1688,0,Slugă speriată și proastă această MăăCiucă!,ABUSE
$USER0649,0,"Gata,începe sa se ducă știrea",OTHER
$USER0234,0,Poporul nu are beneficii că a intrat în uniunea europeană slugile uniunii europene da asta este acordul din state,ABUSE
$USER1608,0,JOS USR PNL PDL UDMR PSD,OTHER
$USER4188,0,"Dan Preda ,tu ești mai mare dobitoc",INSULT
$USER2453,0,"Diana,proștii care conduc se folosesc de proștii care s-au vaccinat și de proștii care cumpără benzină",INSULT
$USER0803,2,PACE!NEUTRALITATE!FARA GRUPURI DE LUPTA IN ROMANIA!JOS SATANISTII!,ABUSE
$USER0010,0,"Voicu Maria, Nu mai există negociere cu acești porci criminali kazari askenazi.",ABUSE
$USER0992,0,"Kovesi va fi numită președinta, votul nostru NU CONTEAZA",OTHER
$USER3287,0,Jos criminali jos mafia jos guvernul mincinos și plin de mafie și criminali și incopetenti și lacomi după avere și interese personale!,INSULT
$USER1515,0,Serios? Cunosc femei care sunt mai bărbați decât bărbații doar cu fizicul.,OTHER
$USER1855,0,Te supără adevărul?,OTHER
$USER1714,0,VREM PACE! JOS IOHANIS! JOS CIUCA!,OTHER
$USER0871,0,M-am convins si de Terhes și AUR și George Simion .,OTHER
$USER3940,0,"Oameni buni, asta e o inregistrare...nu e niciun protest azi...nu mai fiti fraieri",INSULT
$USER0222,0,Vreau o întâlnire cu ea... Se poate?,OTHER
$USER3659,0,O să vă cadă guvernul la polițiști și la jandarmeria futuva morții în gură de ruși,ABUSE
$USER0260,0,"De cand America ne are ca pe copii, ne protejeaza. Sa ca ia dracu pe totii politicieni",ABUSE
$USER0369,0,Tanti Crețulescu taci .... Fii sinceră către Dumnezeu către popor nu mai minți,OTHER
$USER1754,0,"Interesant nu au putut sa dea de tine pt ca sclavii luale-am familia in pl de servicii slugi ale guvernului barau asta. Ba, io sa va iau morti-n pl sclavilor !",ABUSE
$USER0664,0,"Cred ca o sa se ajunga la o revolutie,alta varianta nu avem sa fim liberi!",OTHER
$USER0105,0,De genul ăștia de deștepți utili mie frică ca știe bine sa comunice of in cine sa mai credem ca unu nu da cu pumnul in masă față de străini,OTHER
$USER0976,0,Bine ai venit DANE.,OTHER
$USER1587,0,Mata e expirată sau ce vrei sa spui că ești expirat,ABUSE
$USER0526,0,Și-a adus si mașinile din America,OTHER
$USER1734,0,Mizerabilii ăștia trebuie fugăriți din tara,ABUSE
$USER1433,0,Iesiti din live si lasati l pe nenea asta sa manance cacat singur..,INSULT
$USER0217,0,Ur sula e ocupata cu ciparea)))activeaza productia de cipuri,OTHER
$USER0907,2,"Bravo conducatorilor Romaniei,daca ajuta refugiatii cu banii batranilor.de la.azil( ca la azil toti batranii platesc - nu sant cazati gratis !",OTHER
$USER3730,0,Bai jandarmilo bai porcilor si voi sinteti Romàni de ce tineti cu tradàtori,INSULT
$USER3287,0,HUUUUUUUOOOOOO NENOROCIȚI CRIMINALI DE POPOR ȘI ȚARĂ CARE SUNTEȚI.,INSULT
$USER1070,0,Bună seara.....tuturor,OTHER
$USER0555,0,VREM PACEEEE...NU RAZBOI !,OTHER
$USER1859,2,"Între timp ei arata pe toate posturile tv , ca sunt proteste civile in ucraina. Dar protestul de la noi nu il arată nimeni...",OTHER
$USER0576,0,Mânăriile corupției prin o democrație și a justiției o mână se spala pe altă.Vinovatii uni mituiește,OTHER
$USER0328,0,Ionut Grm cu suturi in cur be vor ajuta,PROFANITY
$USER0862,0,Cat pot manipula cei care semneaza prezenta in fiecare seara si se pricep la toate,OTHER
$USER1342,0,Mars in pastele ma-tii,ABUSE
$USER0340,0,"Ați văzut emblema de pe avion..... Ăștia n au venit singuri, au venit cu o armata după ei",OTHER
$USER1326,0,Râdeți că niște Papagali,INSULT
$USER1386,0,"Dl.Terhes , as dori sa imi raspundeti si mie : de ce NATO daca este in defensiva , furnizeaza cu arme , Ucraina ?",OTHER
$USER0220,2,"Ne liniștim pe dracu , asta nu vine degeaba , e ceva sigur",PROFANITY
$USER0188,0,George!!! Te apreciem si te iubim!!!,OTHER
$USER3566,0,Sa se ducă ei cu rasa lor la razboi,ABUSE
$USER0835,0,Rusu spune ceia ce-i convine lui.,OTHER
$USER0125,0,Cei ce vor UE acum sint liberi. Maidanul e mare,OTHER
$USER0371,0,"LILI RUSE DUTE IN MIJLOCUL BOMBARDAMENTELOR SI FA LIVE DE ACOLO , RELATEAZA ADEVARUL IN DIRECT. SI APOI VEI PRIMI SALARIU MERITAT:",OTHER
$USER0652,3,are dreptate ce spune domnul avocat mai taci dracului neamțule din gura că vorbești numai idioțenii,PROFANITY
$USER0002,2,"Ierusalim este un oras,nu o tara",OTHER
$USER2889,0,Mancator de cacat,INSULT
$USER0626,0,Domnu Chitic vb când ajungeți acasă,OTHER
$USER1659,0,La mulți ani Doamna Dieana,OTHER
$USER2222,1,Când ti a furat tie ucraiana teritorii ??? Bai citiți dracu istoria și Terminați cu balivernele pe Facebook,PROFANITY
$USER2263,0,"Taran prost ce esti, tu cu cine tii ma boratura cu neonazistii de ucrainieni? Piei dracului de pe ecrane",ABUSE
$USER2651,0,Gunoiule nimeni nu merge la război...,ABUSE
$USER1026,0,Da???? Dar avionul doborat si elicopterul ...de ucrainieni pe teritoriul nostru??? Unde era NATO??,OTHER
$USER1450,0,Care relati I. N. T,OTHER
$USER0677,0,Dictatura Facebook,OTHER
$USER0355,2,”Doamna ”fosta ”Domnul ” !!!,OTHER
$USER0643,0,Aur inumara bani,OTHER
$USER1189,1,Huooooo guvernul,OTHER
$USER1399,0,sigur ? Care este? Ai aflat?,OTHER
$USER0313,0,RAZBOIUL LOR....NU AL ROMANILOR.... PROSTILOR...R.TV.,INSULT
$USER0643,0,Ne strici seara noastra ma,OTHER
$USER1475,0,Nu va fi război în Ro,OTHER
$USER1736,0,Ei o sa plece si noi o sa murim,OTHER
$USER1819,1,Nuuuuuuuuu! Nu e războiul nostru !!!!,OTHER
$USER1781,2,"Cu tine în frunte, Fefeleago!",INSULT
$USER0843,0,Moarte Rusiei si acestui descreierat criminal V Pute unde este Dumnezeu ?,OTHER
$USER1628,0,"Pace, Pace ,Neutralitate !",OTHER
$USER0124,0,Nu fi prost ca ceilalti,INSULT
$USER1276,0,Singurul loc unde se vorbește și despre prețuri,OTHER
$USER1254,0,Mai du te dracu de PSD ist!,ABUSE
$USER0139,0,"Avem romani minunati,si ne conduc analfabetii si hotii..!",INSULT
$USER0626,0,"Și,,,,,țoalele,,,,sunt făcute în China și India",OTHER
$USER1242,1,STOP trădarea de țară,OTHER
$USER0115,0,Nu I mai acord timp acestui sinistru personaj. Tot ce face este manipulare. Foloseste cuvinte ca libertate si drepturi cezand ca ne poate spala creierul. Pass terhes. We see trough you!,OTHER
$USER0203,0,Pun mana pe tine,OTHER
$USER1814,0,Daca ati fi in strada toti care santeti pa fb ar fi f bine !,OTHER
$USER3074,0,Musat Florin ăsta vă e nivelul la toți . Cu asta vă arătați . Vai de voi !!! Scursurile societății sânt mari patrioți !!! Vai de voi !!!,ABUSE
$USER0636,0,"Elisabeta, iscoada putinistă!",OTHER
